2026-08-31 15:32:36 | INFO    | steamreq.discovery | [DISCOVERY] 3D                     | +22,794 novos | uniao=22,794
2026-08-31 15:32:36 | INFO    | steamreq.discovery | [DISCOVERY] --- tag 2/24: First-Person ---
2026-08-31 15:32:40 | INFO    | steamreq.discovery | [DISCOVERY] tag First-Person (3839) untags=Indie(492) -> total_count=15,110
2026-08-31 15:32:56 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0005/0303 | 22,966 app_ids | 1.7% | decorrido 00:36:02
2026-08-31 15:33:16 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0010/0303 | 23,117 app_ids | 3.3% | decorrido 00:36:22
2026-08-31 15:33:36 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0015/0303 | 23,253 app_ids | 5.0% | decorrido 00:36:42
2026-08-31 15:33:56 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0020/0303 | 23,373 app_ids | 6.6% | decorrido 00:37:02
2026-08-31 15:34:16 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0025/0303 | 23,492 app_ids | 8.3% | decorrido 00:37:22
2026-08-31 15:34:36 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0030/0303 | 23,616 app_ids | 9.9% | decorrido 00:37:42
2026-08-31 15:34:56 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0035/0303 | 23,735 app_ids | 11.6% | decorrido 00:38:02
2026-08-31 15:35:16 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0040/0303 | 23,845 app_ids | 13.2% | decorrido 00:38:22
2026-08-31 15:35:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0045/0303 | 23,947 app_ids | 14.9% | decorrido 00:38:42
2026-08-31 15:35:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0050/0303 | 24,046 app_ids | 16.5% | decorrido 00:39:02
2026-08-31 15:36:16 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0055/0303 | 24,134 app_ids | 18.2% | decorrido 00:39:22
2026-08-31 15:36:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0060/0303 | 24,232 app_ids | 19.9% | decorrido 00:39:42
2026-08-31 15:36:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0065/0303 | 24,326 app_ids | 21.5% | decorrido 00:40:02
2026-08-31 15:37:17 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0070/0303 | 24,413 app_ids | 23.2% | decorrido 00:40:22
2026-08-31 15:37:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0075/0303 | 24,506 app_ids | 24.8% | decorrido 00:40:42
2026-08-31 15:37:56 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0080/0303 | 24,588 app_ids | 26.5% | decorrido 00:41:02
2026-08-31 15:38:16 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0085/0303 | 24,679 app_ids | 28.1% | decorrido 00:41:22
2026-08-31 15:38:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0090/0303 | 24,767 app_ids | 29.8% | decorrido 00:41:42
2026-08-31 15:38:56 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0095/0303 | 24,857 app_ids | 31.4% | decorrido 00:42:02
2026-08-31 15:39:16 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0100/0303 | 24,953 app_ids | 33.1% | decorrido 00:42:22
2026-08-31 15:39:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0105/0303 | 25,029 app_ids | 34.7% | decorrido 00:42:42
2026-08-31 15:39:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0110/0303 | 25,108 app_ids | 36.4% | decorrido 00:43:02
2026-08-31 15:40:16 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0115/0303 | 25,215 app_ids | 38.1% | decorrido 00:43:22
2026-08-31 15:40:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0120/0303 | 25,314 app_ids | 39.7% | decorrido 00:43:42
2026-08-31 15:40:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0125/0303 | 25,413 app_ids | 41.4% | decorrido 00:44:02
2026-08-31 15:41:17 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0130/0303 | 25,515 app_ids | 43.0% | decorrido 00:44:22
2026-08-31 15:41:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0135/0303 | 25,613 app_ids | 44.7% | decorrido 00:44:42
2026-08-31 15:41:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0140/0303 | 25,707 app_ids | 46.3% | decorrido 00:45:02
2026-08-31 15:42:17 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0145/0303 | 25,812 app_ids | 48.0% | decorrido 00:45:22
2026-08-31 15:42:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0150/0303 | 25,902 app_ids | 49.6% | decorrido 00:45:42
2026-08-31 15:42:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0155/0303 | 25,978 app_ids | 51.3% | decorrido 00:46:02
2026-08-31 15:43:17 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0160/0303 | 26,069 app_ids | 52.9% | decorrido 00:46:22
2026-08-31 15:43:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0165/0303 | 26,153 app_ids | 54.6% | decorrido 00:46:42
2026-08-31 15:43:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0170/0303 | 26,218 app_ids | 56.3% | decorrido 00:47:02
2026-08-31 15:44:17 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0175/0303 | 26,320 app_ids | 57.9% | decorrido 00:47:22
2026-08-31 15:44:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0180/0303 | 26,421 app_ids | 59.6% | decorrido 00:47:42
2026-08-31 15:44:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0185/0303 | 26,513 app_ids | 61.2% | decorrido 00:48:02
2026-08-31 15:45:17 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0190/0303 | 26,590 app_ids | 62.9% | decorrido 00:48:22
2026-08-31 15:45:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0195/0303 | 26,661 app_ids | 64.5% | decorrido 00:48:42
2026-08-31 15:45:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0200/0303 | 26,726 app_ids | 66.2% | decorrido 00:49:02
2026-08-31 15:46:17 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0205/0303 | 26,811 app_ids | 67.8% | decorrido 00:49:22
2026-08-31 15:46:37 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0210/0303 | 26,903 app_ids | 69.5% | decorrido 00:49:42
2026-08-31 15:46:57 | INFO    | steamreq.discovery | [DISCOVERY] First-Person           | pag 0215/0303 | 26,963 app_ids | 71.1% | decorrido 00:50:02
